Gene	SJMMALZ058765_G1	SJMMALZ058766_G1	SJMMALZ058768_G1	SJMMALZ058769_G1	SJMMALZ058771_G1	SJMMALZ058772_G1	SJMMALZ058773_G1	SJMMALZ058774_G1	SJMMALZ058775_G1	SJMMALZ058776_G1	SJMMALZ058778_G1	SJMMALZ058779_G1	SJMMALZ058780_G1	SJMMALZ058781_G1	SJMMALZ058782_G1
ENSMUSG00000059742	15228	14775	18621	11158	11201	15866	10111	18712	15059	19855	8930	13607	12641	14024	8375
ENSMUSG00000059743	6987	8873	11649	13914	5602	7934	7247	9628	11422	17520	6512	13277	10839	10687	5968
ENSMUSG00000040463	10333	10290	11885	14122	6925	8861	9241	9635	10747	15169	7113	12954	9984	11206	6571
ENSMUSG00000040462	22367	24422	26629	31039	15603	20383	18736	19967	24171	30957	16289	27459	22353	23779	15418
ENSMUSG00000069259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069255	2102	2206	2630	2424	1483	2056	1763	2045	2013	2830	1540	2333	1852	1723	1353
ENSMUSG00000046962	2979	3604	4138	4668	2167	3168	2881	2930	3769	5128	2305	3694	2761	3673	1925
ENSMUSG00000046961	259	219	340	267	157	188	241	173	232	284	101	260	158	215	143
ENSMUSG00000008540	663	698	643	1181	305	625	608	568	1447	1177	483	1860	1261	1175	417
